TOKEN,REPETICIONES,UBICACION
official,5,2487
apartment,5,2489
convinced,5,2490
dam,5,2491
dead,5,2492
fedotov,5,2493
gun,5,2494
intelligence,5,2495
killing,5,2496
knew,5,2497
organized,5,2498
photos,5,2499
prosecutor,5,2500
rudnev,5,2501
soldier,5,2502
soldiers,5,2503
source,5,2504
